UF;Município;Cargo;Candidato;Nr;Partido;Situação;VotaçãoNominal
MG;CACHOEIRA DE PAJEÚ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2944,00 
MG;CACHOEIRA DE PAJEÚ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1506,00 
MG;CACHOEIRA DOURADA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;488,00 
MG;CACHOEIRA DOURADA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1194,00 
MG;CAETANÓPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2303,00 
MG;CAETANÓPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3251,00 
MG;CAETÉ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;14357,00 
MG;CAETÉ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;9042,00 
MG;CAIANA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1691,00 
MG;CAIANA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1033,00 
MG;CAJURI;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;794,00 
MG;CAJURI;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2121,00 
MG;CALDAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4575,00 
MG;CALDAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3559,00 
MG;CAMACHO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1028,00 
MG;CAMACHO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1366,00 
MG;CAMANDUCAIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5755,00 
MG;CAMANDUCAIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6278,00 
MG;CAMBUÍ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6720,00 
MG;CAMBUÍ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;8244,00 
MG;CAMBUQUIRA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2428,00 
MG;CAMBUQUIRA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4961,00 
MG;CAMPANÁRIO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1630,00 
MG;CAMPANÁRIO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;514,00 
